"Gene_ID","Gene_Symbol","SRR9943833","SRR9943834","SRR9943835","SRR9943836","SRR9943837","SRR9943838","SRR28475464","SRR28475465","SRR28475466","SRR28475467","SRR28475468","SRR28475469"
"ENSOMYG00000061382","",0.106157,0.503185,0,0.210899,0.389597,0.146674,1.295294,1.167021,2.311394,0,0,0.317769
"ENSOMYG00000061383","",0.827761,1.322473,0.95641,0.585389,0.355787,0.474146,0.286506,0.104483,0.157856,0.073658,0.05416,0.274786
"ENSOMYG00000061384","",0.361111,6.701389,3.812502,2.222222,0,8.236111,2.75,0,0.222222,0,0.472222,0
"ENSOMYG00000061386","",1.644285,0.715373,1.26331,0.457288,1.093866,0.9395,0.029942,0.055089,0.190017,0.087327,0,0.037176
"ENSOMYG00000061391","5_8S_rRNA",2.951299,4.5,5.079546,3.535714,2.811688,3.672078,0.16041,0,0.324929,0.380479,0.157143,0
"ENSOMYG00000061393","",1.401485,2.779318,1.171167,2.072039,1.834126,2.586734,0.072944,0.04527,0.107693,0.048629,0.255528,0.093015
"ENSOMYG00000061394","",0.591499,0.848899,0.606825,0.542238,0.523493,0.736797,0,0.07181,0,0.056973,0.05638,0.205144
"ENSOMYG00000061397","",2.189527,2.081623,0.833499,1.33277,1.429804,1.76686,0.173333,0.024464,0.125797,0.034783,0,0.015188
"ENSOMYG00000061400","",15.621583,20.9932,10.960626,64.041061,39.434364,23.539915,13.236397,13.771056,15.53473,9.091415,10.910866,11.376078
"ENSOMYG00000061402","ZBTB18",4.491857,3.527688,4.083062,2.976656,2.68241,6.647123,1.282845,1.394137,0.615092,0.776873,0.509229,0.897937
"ENSOMYG00000061408","U5",0.364067,2.328246,0.637562,2.215463,0.393161,2.466793,0,0,0,0,0,0
"ENSOMYG00000061409","",0.803355,0.834404,0.282655,1.34917,2.742455,1.28551,0.073519,0,0,0,0,0
"ENSOMYG00000061411","",0.19794,0.694986,0.341581,0.209511,0.152545,0.519106,0,0.017704,0.039696,0.016432,0.026584,0
"ENSOMYG00000061413","",1.877106,3.092532,1.411011,1.029066,1.243585,11.372789,3.053783,1.920365,5.372788,3.693693,1.94376,3.371565
"ENSOMYG00000061414","znf654",12.859955,25.250402,16.841366,14.237173,18.151661,23.968054,2.448854,1.835753,2.114715,1.135689,1.459664,1.530816
"ENSOMYG00000061418","",0.030788,0.049261,0.534402,0.159277,0.123153,0.147783,0.049261,0.049261,0,0,0.164203,0
"ENSOMYG00000061422","",8.213284,10.272328,11.020089,11.529522,3.97627,7.817825,0.528774,0.516629,0.658072,1.028774,0.604634,1.309417
"ENSOMYG00000061426","ck073",7.525653,10.228319,12.261658,16.018822,14.026936,17.137461,10.607819,7.122735,15.468953,9.81533,10.437891,4.10173
"ENSOMYG00000061427","tfe3a",5.168244,12.43285,3.844586,14.047168,4.539353,4.512848,0,0,0.42965,0,0.256738,0.445733
"ENSOMYG00000061429","",4.608796,7.721133,4.16585,4.590959,4.106005,21.899237,5.060754,5.441147,12.896599,5.841938,5.04647,6.201656
"ENSOMYG00000061430","",0.162247,0.267865,0.833972,1.25824,0.6,0.362249,0,0,0,0,0,0
"ENSOMYG00000061432","",2.315619,2.305667,6.216848,0.898504,0,0.576582,0,0,0,0,0,0
"ENSOMYG00000061434","",1.169437,0.495504,0.376834,0.377325,0.42131,0.88055,0.05826,0.029326,0.043793,0,0.013294,0.049071
"ENSOMYG00000061438","cyp2u1",61.549164,52.011131,57.43322,65.898575,37.291485,55.516388,18.422388,21.615337,26.924248,23.380335,16.510204,17.465986
"ENSOMYG00000061441","",0.040289,0.271003,0.011201,0,0.059621,0.033604,0,0,0,0,0,0
"ENSOMYG00000061450","",0.605422,1.433296,0.756612,0.77204,1.391438,1.78064,0.025059,0.058626,0.089543,0.039084,0.022627,0.089013
"ENSOMYG00000061451","",0.362912,0.970165,0.652544,0.593609,0.274175,0.350979,0,0.058495,0.216551,0.021257,0.025418,0.048666
"ENSOMYG00000061453","cdkn2aip",13.195378,13.777342,10.204036,19.962381,30.028774,22.228575,11.066891,13.65284,15.479074,5.034816,3.73144,4.558856
"ENSOMYG00000061457","",1.559082,1.053738,0.014517,0.084482,0.490274,0.29501,0,0,0.451183,0,0,0
"ENSOMYG00000061459","",1.121465,1.48779,0.905424,1.147376,1.402802,1.181116,0.025628,0.038561,0.034759,0.038357,0.03795,0.046775
"ENSOMYG00000061466","U2",0.087958,0.314137,0.157069,0.139267,0.073298,0,0,0,0,0,0,0
"ENSOMYG00000061469","",1.556082,3.784863,3.673256,2.579421,0.775665,2.26972,0,0.069436,0.133531,0.029674,0.271266,0.029674
"ENSOMYG00000061470","",1.990818,3.239702,1.453797,0.617038,0.383364,0.895048,0.227054,0.244028,0.143478,0.088658,0.365693,0.05293
"ENSOMYG00000061471","",2.963719,3.396825,1.818594,2.365079,2.773243,1.922902,0,0,0,0,0,0
"ENSOMYG00000061472","",0.172326,0.574884,0.307907,1.497674,0,0.493488,0,0,0,0,0,0
"ENSOMYG00000061474","",0.435517,0.503866,0.473861,0.980813,0.546829,0.443593,0.095635,0.021495,0.002579,0.102314,0.391932,0.037897
"ENSOMYG00000061476","",1.327373,1.165859,1.148774,1.350533,1.456262,2.182091,0.115782,0.055728,0.018232,0.016226,0.076876,0.103435
"ENSOMYG00000061478","",0.637725,0.888786,1.367645,0.303527,0.322525,0.964856,0.129808,0.052941,0,0.098033,0.004706,0
"ENSOMYG00000061480","",0.336914,1.095019,0.528914,1.031415,0.358621,1.413548,0,0.252874,0.272328,0,0.185499,0.128205
