"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000033579","gpr34b",0.706294,0.652681,0.74359,0.80575,0.796426,0.464646,1.03885,0.77956,0.854699,0,0.358974,0.406371,1.773893,3.415695,0.797203,1.157731,0.428127
"ENSOMYG00000033584","si:dkey-216e24.9",0,0,0.647959,0,0.451531,0.42432,0.45068,0.506048,0.237286,0,0.434524,0.72534,0.74915,0.388605,0.098639,0.386054,0.456633
"ENSOMYG00000033597","ZNF207",6.121439,3.811624,5.56187,4.582903,4.587302,4.309918,13.083235,5.661312,5.508742,0,0,0.679644,0,0,0,0,0.05987
"ENSOMYG00000033598","cltb",1.608707,2.997808,1.010164,13.823959,0,0,13.996862,12.117024,15.061729,0,0,0.917252,0,0.013126,0,0,12.84228
"ENSOMYG00000033599","",0.9621,1.123744,0.652968,0.809589,1.778539,0.560274,1.755251,0.511872,1.060731,1.759817,2.111416,5.352055,3.069407,2.723744,0.773516,1.495434,0.66895
"ENSOMYG00000033603","",0.14059,0.240221,0.533579,0.161993,0,0.660886,0.269373,0.708487,0.290037,0.087085,0,0.060517,0,0,0,0.504797,0.035793
"ENSOMYG00000033614","",0,0,0,0.037155,0.122255,0.036188,0,0.036666,0.100244,0.182842,0.129458,0.996034,1.260068,1.303848,0.031132,0.140416,0
"ENSOMYG00000033623","LMOD3",105.610573,124.481384,150.420135,132.463699,116.921448,113.653763,144.138306,151.448624,92.233803,0.408042,0.743112,0.288905,0.334326,0,0.203649,0.604989,0
"ENSOMYG00000033624","gorasp2",8.774692,5.013503,8.312114,6.709105,7.13966,7.24267,4.280093,6.64892,6.459105,2.607253,2.599537,5.771605,7.340663,7.436343,5.743827,5.234568,2.003858
"ENSOMYG00000033628","ZC3H3",3.800574,3.330462,2.502219,2.651788,2.70295,2.441399,5.827199,4.662229,3.183503,1.292874,0.949883,2.856956,3.069433,3.077525,1.71835,1.268598,0.740538
"ENSOMYG00000033629","",134.508575,107.087013,122.580879,93.606621,102.932594,97.819855,174.306366,135.748779,94.454659,7.751225,5.061275,14.805147,13.414216,13.09804,10.050245,10.340686,7.166667
"ENSOMYG00000033636","TMEM97",10.60149,6.270019,9.959032,3.351955,15.536313,3.392924,15.238361,18.75419,9.713222,134.93483,157.641525,206.675049,206.687149,226.106171,260.139893,185.581009,191.049347
"ENSOMYG00000033638","NDUFS4",208.294266,150.173889,260.709564,146.778976,209.108276,150.702545,231.060516,221.156693,197.382172,62.150955,62.749046,72.26815,98.640762,93.895538,72.874519,83.713379,68.036942
"ENSOMYG00000033642","golm2",0.79958,1.817321,0.332606,1.022535,0.668886,0.855523,15.848755,10.029655,0.670875,0,0.148178,0.361597,0.142067,0.242259,0,0.087677,0
"ENSOMYG00000033646","",131.465363,107.127144,164.355576,14.702219,113.563034,130.469849,131.85968,124.417061,13.856078,1.278465,0.935809,0.241401,12.100977,16.797773,1.500579,1.235535,1.037264
