"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","highlighted"
"query_1",TRUE,1.13723388368916e-05,27,1268,11,0.00867507886435331,0.407407407407407,"GO:0071103","GO:BP","DNA conformation change",23134,16453,"GO:0051276","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000001753,ENSOMYG00000004365,ENSOMYG00000011026,ENSOMYG00000022528,ENSOMYG00000029221,ENSOMYG00000031800,ENSOMYG00000033325,ENSOMYG00000035735,ENSOMYG00000042181,ENSOMYG00000046448,ENSOMYG00000069397",FALSE
"query_1",TRUE,1.43557761912949e-05,260,1268,37,0.029179810725552,0.142307692307692,"GO:0009605","GO:BP","response to external stimulus",23134,3533,"GO:0050896","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000012124,ENSOMYG00000012144,ENSOMYG00000014218,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000018541,ENSOMYG00000021611,ENSOMYG00000022444,ENSOMYG00000024630,ENSOMYG00000026966,ENSOMYG00000030223,ENSOMYG00000032623,ENSOMYG00000032727,ENSOMYG00000033023,ENSOMYG00000036731,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000042957,ENSOMYG00000044687,ENSOMYG00000046585,ENSOMYG00000051465,ENSOMYG00000052953,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000062182,ENSOMYG00000065268,ENSOMYG00000066326,ENSOMYG00000069047",TRUE
"query_1",TRUE,4.70365500850584e-05,15,1268,8,0.00630914826498423,0.533333333333333,"GO:0034508","GO:BP","centromere complex assembly",23134,8672,"GO:0051276, GO:0065004","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000009450,ENSOMYG00000009607,ENSOMYG00000015326,ENSOMYG00000037483,ENSOMYG00000037794,ENSOMYG00000041611,ENSOMYG00000045611,ENSOMYG00000063548",FALSE
"query_1",TRUE,0.000549755159227762,117,1268,20,0.0157728706624606,0.170940170940171,"GO:0098542","GO:BP","defense response to other organism",23134,18794,"GO:0006952, GO:0051707","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000021611,ENSOMYG00000024630,ENSOMYG00000033023,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000046585,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000065268",FALSE
"query_1",TRUE,0.000549755159227762,3683,1268,260,0.205047318611987,0.0705946239478686,"GO:0006259","GO:BP","DNA metabolic process",23134,2076,"GO:0090304","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000000116,ENSOMYG00000000447,ENSOMYG00000001219,ENSOMYG00000001507,ENSOMYG00000001753,ENSOMYG00000002752,ENSOMYG00000003163,ENSOMYG00000003279,ENSOMYG00000003292,ENSOMYG00000003321,ENSOMYG00000004686,ENSOMYG00000005651,ENSOMYG00000007658,ENSOMYG00000007986,ENSOMYG00000010296,ENSOMYG00000010384,ENSOMYG00000011026,ENSOMYG00000011508,ENSOMYG00000011861,ENSOMYG00000012427,ENSOMYG00000012892,ENSOMYG00000013034,ENSOMYG00000013236,ENSOMYG00000013588,ENSOMYG00000013729,ENSOMYG00000016713,ENSOMYG00000017817,ENSOMYG00000019128,ENSOMYG00000019750,ENSOMYG00000019951,ENSOMYG00000020629,ENSOMYG00000021025,ENSOMYG00000022528,ENSOMYG00000022740,ENSOMYG00000023525,ENSOMYG00000025026,ENSOMYG00000026853,ENSOMYG00000027101,ENSOMYG00000027207,ENSOMYG00000027536,ENSOMYG00000029221,ENSOMYG00000029486,ENSOMYG00000030168,ENSOMYG00000030943,ENSOMYG00000031188,ENSOMYG00000031478,ENSOMYG00000031800,ENSOMYG00000033325,ENSOMYG00000033986,ENSOMYG00000034180,ENSOMYG00000035506,ENSOMYG00000035735,ENSOMYG00000036018,ENSOMYG00000037794,ENSOMYG00000040256,ENSOMYG00000040264,ENSOMYG00000041586,ENSOMYG00000041719,ENSOMYG00000041834,ENSOMYG00000042181,ENSOMYG00000043001,ENSOMYG00000043449,ENSOMYG00000043602,ENSOMYG00000044727,ENSOMYG00000045064,ENSOMYG00000045484,ENSOMYG00000046314,ENSOMYG00000046435,ENSOMYG00000047004,ENSOMYG00000048074,ENSOMYG00000048165,ENSOMYG00000048848,ENSOMYG00000048975,ENSOMYG00000048979,ENSOMYG00000049155,ENSOMYG00000049165,ENSOMYG00000049365,ENSOMYG00000049387,ENSOMYG00000049452,ENSOMYG00000049509,ENSOMYG00000049582,ENSOMYG00000049714,ENSOMYG00000049749,ENSOMYG00000049751,ENSOMYG00000050143,ENSOMYG00000050187,ENSOMYG00000050205,ENSOMYG00000050243,ENSOMYG00000050267,ENSOMYG00000050485,ENSOMYG00000050587,ENSOMYG00000050764,ENSOMYG00000050796,ENSOMYG00000051568,ENSOMYG00000051599,ENSOMYG00000051872,ENSOMYG00000051969,ENSOMYG00000052183,ENSOMYG00000052559,ENSOMYG00000052574,ENSOMYG00000052627,ENSOMYG00000052693,ENSOMYG00000052697,ENSOMYG00000052798,ENSOMYG00000052808,ENSOMYG00000052822,ENSOMYG00000052853,ENSOMYG00000052863,ENSOMYG00000052867,ENSOMYG00000052964,ENSOMYG00000053084,ENSOMYG00000053099,ENSOMYG00000053305,ENSOMYG00000053738,ENSOMYG00000054432,ENSOMYG00000054474,ENSOMYG00000054557,ENSOMYG00000054626,ENSOMYG00000054636,ENSOMYG00000054720,ENSOMYG00000054894,ENSOMYG00000055186,ENSOMYG00000055247,ENSOMYG00000055445,ENSOMYG00000055641,ENSOMYG00000055662,ENSOMYG00000055679,ENSOMYG00000056080,ENSOMYG00000056164,ENSOMYG00000056167,ENSOMYG00000056172,ENSOMYG00000056313,ENSOMYG00000056390,ENSOMYG00000056666,ENSOMYG00000056742,ENSOMYG00000056867,ENSOMYG00000057461,ENSOMYG00000057517,ENSOMYG00000057782,ENSOMYG00000057808,ENSOMYG00000058547,ENSOMYG00000058548,ENSOMYG00000058574,ENSOMYG00000058645,ENSOMYG00000058671,ENSOMYG00000058917,ENSOMYG00000059143,ENSOMYG00000059901,ENSOMYG00000059908,ENSOMYG00000059987,ENSOMYG00000060063,ENSOMYG00000060102,ENSOMYG00000060128,ENSOMYG00000060303,ENSOMYG00000060455,ENSOMYG00000060505,ENSOMYG00000060588,ENSOMYG00000060686,ENSOMYG00000060730,ENSOMYG00000060797,ENSOMYG00000060821,ENSOMYG00000060885,ENSOMYG00000061040,ENSOMYG00000061061,ENSOMYG00000061200,ENSOMYG00000061229,ENSOMYG00000061264,ENSOMYG00000061277,ENSOMYG00000062288,ENSOMYG00000062659,ENSOMYG00000062890,ENSOMYG00000062962,ENSOMYG00000062982,ENSOMYG00000063033,ENSOMYG00000063227,ENSOMYG00000063458,ENSOMYG00000063641,ENSOMYG00000063780,ENSOMYG00000063853,ENSOMYG00000063856,ENSOMYG00000063985,ENSOMYG00000064406,ENSOMYG00000064650,ENSOMYG00000065024,ENSOMYG00000065152,ENSOMYG00000065179,ENSOMYG00000065305,ENSOMYG00000065324,ENSOMYG00000065645,ENSOMYG00000065676,ENSOMYG00000065926,ENSOMYG00000066317,ENSOMYG00000066368,ENSOMYG00000066394,ENSOMYG00000066429,ENSOMYG00000067090,ENSOMYG00000067135,ENSOMYG00000067391,ENSOMYG00000067458,ENSOMYG00000067696,ENSOMYG00000067717,ENSOMYG00000067789,ENSOMYG00000067891,ENSOMYG00000067966,ENSOMYG00000067980,ENSOMYG00000068239,ENSOMYG00000068488,ENSOMYG00000068688,ENSOMYG00000068727,ENSOMYG00000068872,ENSOMYG00000068938,ENSOMYG00000068957,ENSOMYG00000069171,ENSOMYG00000069355,ENSOMYG00000069397,ENSOMYG00000069439,ENSOMYG00000069488,ENSOMYG00000069969,ENSOMYG00000069995,ENSOMYG00000070224,ENSOMYG00000070274,ENSOMYG00000070362,ENSOMYG00000070417,ENSOMYG00000070444,ENSOMYG00000070708,ENSOMYG00000071187,ENSOMYG00000071231,ENSOMYG00000071273,ENSOMYG00000071369,ENSOMYG00000072018,ENSOMYG00000072137,ENSOMYG00000072204,ENSOMYG00000072668,ENSOMYG00000072711,ENSOMYG00000072726,ENSOMYG00000073315,ENSOMYG00000073328,ENSOMYG00000073485,ENSOMYG00000073674,ENSOMYG00000074227,ENSOMYG00000074263,ENSOMYG00000074423,ENSOMYG00000074527,ENSOMYG00000074588,ENSOMYG00000074840,ENSOMYG00000075032,ENSOMYG00000075080,ENSOMYG00000075096,ENSOMYG00000075334,ENSOMYG00000075412,ENSOMYG00000075865,ENSOMYG00000075885,ENSOMYG00000076093,ENSOMYG00000076281,ENSOMYG00000076416,ENSOMYG00000076561,ENSOMYG00000076709,ENSOMYG00000077077,ENSOMYG00000077711,ENSOMYG00000077792",FALSE
"query_1",TRUE,0.000549755159227762,318,1268,38,0.0299684542586751,0.119496855345912,"GO:0006955","GO:BP","immune response",23134,2586,"GO:0002376, GO:0050896","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000002664,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000005081,ENSOMYG00000005905,ENSOMYG00000011474,ENSOMYG00000012483,ENSOMYG00000014873,ENSOMYG00000015899,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000017291,ENSOMYG00000018541,ENSOMYG00000021611,ENSOMYG00000022444,ENSOMYG00000026966,ENSOMYG00000030203,ENSOMYG00000032623,ENSOMYG00000032727,ENSOMYG00000033023,ENSOMYG00000036854,ENSOMYG00000040581,ENSOMYG00000042230,ENSOMYG00000044729,ENSOMYG00000044734,ENSOMYG00000046585,ENSOMYG00000052953,ENSOMYG00000058751,ENSOMYG00000065268,ENSOMYG00000065373,ENSOMYG00000065456,ENSOMYG00000066326,ENSOMYG00000069047,ENSOMYG00000073327",FALSE
"query_1",TRUE,0.000549755159227762,128,1268,21,0.0165615141955836,0.1640625,"GO:0043207","GO:BP","response to external biotic stimulus",23134,10576,"GO:0009605, GO:0009607","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000021611,ENSOMYG00000024630,ENSOMYG00000030223,ENSOMYG00000033023,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000046585,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000065268",FALSE
"query_1",TRUE,0.000549755159227762,138,1268,22,0.0173501577287066,0.159420289855072,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",23134,10998,"GO:0008150","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000021611,ENSOMYG00000024630,ENSOMYG00000030223,ENSOMYG00000031676,ENSOMYG00000033023,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000046585,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000065268",FALSE
"query_1",TRUE,0.000549755159227762,128,1268,21,0.0165615141955836,0.1640625,"GO:0051707","GO:BP","response to other organism",23134,13904,"GO:0043207, GO:0044419","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000021611,ENSOMYG00000024630,ENSOMYG00000030223,ENSOMYG00000033023,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000046585,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000065268",FALSE
"query_1",TRUE,0.000645454213785831,130,1268,21,0.0165615141955836,0.161538461538462,"GO:0009607","GO:BP","response to biotic stimulus",23134,3535,"GO:0050896","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSOMYG00000003648,ENSOMYG00000004272,ENSOMYG00000004614,ENSOMYG00000004857,ENSOMYG00000004977,ENSOMYG00000006443,ENSOMYG00000011474,ENSOMYG00000016096,ENSOMYG00000016156,ENSOMYG00000016522,ENSOMYG00000016793,ENSOMYG00000021611,ENSOMYG00000024630,ENSOMYG00000030223,ENSOMYG00000033023,ENSOMYG00000042230,ENSOMYG00000042923,ENSOMYG00000046585,ENSOMYG00000056737,ENSOMYG00000058751,ENSOMYG00000065268",FALSE
